,Missed,Guessed,States,Guess
0,,Alabama,Alabama,Correct
1,Alaska,,Alaska,Missed
2,Arizona,,Arizona,Missed
3,Arkansas,,Arkansas,Missed
4,California,,California,Missed
5,Colorado,,Colorado,Missed
6,Connecticut,,Connecticut,Missed
7,Delaware,,Delaware,Missed
8,Florida,,Florida,Missed
9,Georgia,,Georgia,Missed
10,Hawaii,,Hawaii,Missed
11,Idaho,,Idaho,Missed
12,Illinois,,Illinois,Missed
13,Indiana,,Indiana,Missed
14,Iowa,,Iowa,Missed
15,Kansas,,Kansas,Missed
16,Kentucky,,Kentucky,Missed
17,Louisiana,,Louisiana,Missed
18,Maine,,Maine,Missed
19,Maryland,,Maryland,Missed
20,Massachusetts,,Massachusetts,Missed
21,Michigan,,Michigan,Missed
22,Minnesota,,Minnesota,Missed
23,Mississippi,,Mississippi,Missed
24,Missouri,,Missouri,Missed
25,Montana,,Montana,Missed
26,Nebraska,,Nebraska,Missed
27,Nevada,,Nevada,Missed
28,New Hampshire,,New Hampshire,Missed
29,New Jersey,,New Jersey,Missed
30,New Mexico,,New Mexico,Missed
31,,New York,New York,Correct
32,North Carolina,,North Carolina,Missed
33,North Dakota,,North Dakota,Missed
34,Ohio,,Ohio,Missed
35,Oklahoma,,Oklahoma,Missed
36,Oregon,,Oregon,Missed
37,Pennsylvania,,Pennsylvania,Missed
38,Rhode Island,,Rhode Island,Missed
39,South Carolina,,South Carolina,Missed
40,South Dakota,,South Dakota,Missed
41,Tennessee,,Tennessee,Missed
42,Texas,,Texas,Missed
43,Utah,,Utah,Missed
44,Vermont,,Vermont,Missed
45,Virginia,,Virginia,Missed
46,Washington,,Washington,Missed
47,West Virginia,,West Virginia,Missed
48,Wisconsin,,Wisconsin,Missed
49,Wyoming,,Wyoming,Missed
